ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
8 5.61993 8.07761 0
9 0.0340622 1.74845 0
10 8.08727 9.94767 0
11 2.63265 8.42983 0
12 4.51808 4.93973 0
13 9.60473 7.18354 0
14 2.84607 5.59067 0
15 1.44887 9.83172 0
16 4.38428 6.89757 0
17 5.469 2.52954 0
18 2.52293 4.95212 0
19 6.93259 7.7671 0
20 4.46226 5.93521 0
21 0.898151 0.499443 0
22 9.84743 0.134639 0
23 1.62515 1.97364 0
24 5.78849 6.7002 0
25 2.04632 3.77846 0
26 5.07487 5.09361 0
27 2.69874 6.78114 0
28 5.67101 9.78663 0
29 5.35032 7.58536 0
30 9.67571 3.59045 0
31 4.53561 5.00547 0
32 9.90102 9.86675 0
33 0.521527 7.33097 0
34 1.06577 5.87728 0
35 1.68183 0.81132 0
36 1.20518 8.45445 0
37 5.26494 1.4283 0
38 3.17063 1.7423 0
39 8.16828 6.76636 0
40 5.92414 3.91132 0
41 1.24645 7.67818 0
42 9.88051 6.6635 0
43 0.1297 1.53673 0
44 6.94935 7.74661 0
45 4.68433 5.94576 0
46 6.42869 2.29766 0
47 8.93571 8.94165 0
48 8.193 2.71869 0
49 6.59424 0.295167 0
50 7.21807 5.5353 0
51 5.64471 6.58495 0
52 0.0470655 6.2818 0
53 7.95903 8.19494 0
54 6.39969 6.08395 0
55 7.22246 9.79319 0
56 5.08928 5.17897 0
57 6.36643 4.96219 0
58 1.681 2.68085 0
59 0.197214 1.95159 0
60 0.236154 0.460387 0
61 7.36318 2.96749 0
62 0.681215 3.83188 0
63 7.60771 9.88426 0
64 4.91722 4.9784 0
65 4.89818 8.34997 0
66 0.0928184 2.19907 0
67 2.90493 7.29513 0
68 9.95987 5.58749 0
69 4.21029 8.01862 0
70 8.15936 6.6648 0
71 0.197978 1.94865 0
72 9.91375 8.52549 0
73 5.54637 0.160999 0
74 6.81021 5.03213 0
75 4.85776 9.03459 0
76 5.07795 8.63558 0
77 4.86716 6.83867 0
78 8.59715 7.76445 0
79 3.45558 5.21926 0
80 3.59556 3.01733 0
81 6.91452 4.93041 0
82 6.74114 5.97741 0
83 6.74111 2.37366 0
84 9.30014 3.58539 0
85 9.1094 0.211251 0
86 3.81319 2.52585 0
87 8.13427 9.81022 0
88 5.29244 7.70763 0
89 7.89017 3.18757 0
90 8.34762 9.91078 0
91 6.62809 3.6863 0
92 7.68923 1.22441 0
93 5.98014 5.31548 0
94 8.93041 2.83504 0
95 7.77979 6.65194 0
96 3.08926 9.72866 0
97 9.35203 5.40022 0
98 0.609977 1.77854 0
99 1.2268 8.46869 0
100 8.48911 4.9212 0
ITEM: TIMESTEP
4
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
1 6.08355 2.30434 0
2 7.26225 4.12043 0
3 1.94935 2.56584 0
4 3.24756 7.85925 0
5 1.30205 0.153112 0
6 9.49813 0.662549 0
7 1.10724 0.576985 0
8 6.50257 3.07114 0
9 0.592128 1.48055 0
10 6.21582 6.1529 0
11 4.94288 5.35582 0
12 0.670898 4.15736 0
13 2.55815 9.63419 0
14 8.39489 5.14211 0
15 1.67322 1.27719 0
16 5.88595 5.54454 0
17 6.07578 2.34016 0
